alignment_pos,count
NC-NN,76
DET-NN,67
NC-IN,66
DET-DT,60
P-NN,58
P-IN,57
DET-IN,57
P-DT,55
NC-DT,54
P-VBD,40
V-NN,35
NC-VBD,35
DET-JJ,32
V-IN,32
DET-VBD,31
"P-,",29
V-JJ,29
NC-JJ,29
PUNC-NN,28
V-DT,28
ADV-NN,27
PUNC-IN,27
"NC-,",26
ADJ-NN,25
ADJ-DT,25
P-JJ,24
"V-,",22
NC-NNP,22
PUNC-JJ,21
P-NNS,21
ADJ-IN,21
"DET-,",20
PUNC-DT,20
V-VBD,20
"PUNC-,",18
NC-CC,18
NC-.,18
PUNC-VBD,17
NC-PRP,17
NC-VBN,17
PUNC-NNS,16
P-VBN,16
ADJ-JJ,16
NC-NNS,15
DET-PRP,15
CLS-DT,15
ADV-DT,14
DET-NNS,14
VPP-IN,13
ADV-VBD,13
V-NNP,13
V-PRP,13
ADJ-VBD,13
V-PRP$,13
"ADV-,",13
P-.,13
DET-CC,13
DET-VBN,13
VINF-NN,12
ADJ-VBN,12
DET-PRP$,12
DET-NNP,12
CLS-IN,12
P-CC,12
NC-RB,12
VPP-NN,12
P-RB,12
V-CC,12
DET-.,11
CLS-NN,11
P-NNP,11
V-RB,11
"VPP-,",11
PROREL-IN,11
ADV-IN,11
NC-PRP$,11
V-NNS,10
VINF-DT,10
VINF-VBD,10
P-PRP,10
NPP-VBD,10
N-VBD,10
ADJ-NNS,10
"ADJ-,",10
PUNC-VBN,9
NPP-NN,9
P-VB,9
P-PRP$,9
VPP-DT,9
CC-DT,9
PUNC-CC,9
PUNC-NNP,9
ADV-JJ,9
N-DT,8
ADV-NNP,8
PROREL-DT,8
DET-WDT,8
DET-RB,8
P-RP,8
NPP-DT,8
N-IN,8
ADV-CC,7
V-VBN,7
V-VB,7
V-TO,7
"VINF-,",7
NC-VB,7
PRO-DT,7
CLO-NN,7
CLR-NN,7
ADV-NNS,7
ADV-PRP$,7
DET-TO,7
PUNC-.,7
NC-TO,7
ADJ-PRP,7
ADJ-NNP,7
NC-VBG,7
CLS-JJ,7
"N-,",6
DET-'',6
PUNC-RB,6
NPP-RB,6
PUNC-VB,6
V-.,6
"CLS-,",6
VPP-JJ,6
VPP-VBD,6
CLS-NNP,6
ADJ-TO,6
DET-``,6
CC-IN,6
DET-VB,6
PROREL-JJ,6
NC-'',6
ADJ-CC,6
ADV-.,5
VPP-NNS,5
NPP-NNP,5
VINF-JJ,5
CLR-IN,5
V-VBZ,5
PUNC-TO,5
PUNC-PRP,5
CLO-IN,5
N-NN,5
NPP-``,5
NC-CD,5
P-VBZ,5
CC-VBD,5
ADV-RB,5
V-:,5
CC-NN,5
NC-MD,5
ADJ-PRP$,5
NC-RP,5
VINF-IN,4
VINF-PRP,4
VPP-PRP$,4
VPP-.,4
NC-VBZ,4
"NPP-,",4
CC-VBN,4
VINF-NNP,4
V-VBG,4
CLS-PRP,4
CLR-PRP,4
VPP-VBN,4
ADV-:,4
CLO-NNS,4
DET-RP,4
DET-WP,4
PUNC-PRP$,4
V-'',4
V-CD,4
ADV-VBN,4
ADV-PRP,4
PRO-RB,4
CS-DT,4
P-TO,4
N-VB,4
N-NNS,4
PUNC-RP,4
PROREL-NN,4
"CS-,",4
CLS-VBN,4
PRO-NNS,4
P-MD,4
P-VBG,4
PRO-IN,4
V-WDT,3
VINF-CC,3
ADJ-RP,3
VINF-RB,3
ADJ-VB,3
CS-JJ,3
PUNC-VBP,3
ADV-RP,3
PRO-VBD,3
CLO-VBD,3
PROREL-VBN,3
PROREL-NNS,3
CLS-VB,3
PUNC-MD,3
DET-MD,3
PUNC-CD,3
DET-VBG,3
"CC-,",3
C-DT,3
CC-CC,3
CC-.,3
ET-DT,3
CLO-PRP,3
CC-NNP,3
P-``,3
ADV-``,3
PRO-NN,3
PRO-JJ,3
N-NNP,3
P-POS,3
N-CC,3
ET-PRP,3
NPP-VB,3
N-TO,3
N-VBN,3
P-'',3
P-CD,3
NPP-IN,3
NC-WP,3
NC-WDT,3
CC-NNS,3
NPP-PRP,3
VPR-NN,3
VPP-NNP,3
VPP-CC,3
VPP-VB,3
VINF-VBN,3
ADJ-.,3
ADJ-CD,2
VPP-RP,2
VPP-CD,2
NPP-VBN,2
NPP-VBP,2
ET-VBD,2
ET-RB,2
NPP-TO,2
NC-VBP,2
NC-WRB,2
NC-``,2
NPP-'',2
NPP-CC,2
N-PRP,2
CL-IN,2
CLO-.,2
ET-NNP,2
P-WP,2
P-WDT,2
"C-,",2
"PRO-,",2
N-JJ,2
N-RP,2
N-RB,2
N-VBG,2
V-WP,2
CLR-DT,2
CLR-JJ,2
VPP-WDT,2
VPP-WP,2
VINF-.,2
V-``,2
VPR-CC,2
VPR-DT,2
PUNC-'',2
PUNC-:,2
DET-CD,2
CS-PRP$,2
CS-NNP,2
CS-NN,2
PROREL-NNP,2
PROREL-RB,2
CLR-:,2
"PROREL-,",2
PRO-VBN,2
CC-JJ,2
ADJ-VBG,2
VPR-VBN,2
CLS-RB,2
CLS-VBD,2
CLS-WDT,2
CS-.,2
CLS-PRP$,2
CLR-VBN,2
CLR-VBG,2
V-RP,2
CLS-NNS,2
CLO-CC,2
CLO-:,2
ADJ-EX,1
ADJ-'',1
ADJ-:,1
VPP-POS,1
ADJ-MD,1
VPR-PRP$,1
VPR-PRP,1
VPP-MD,1
VINF-WP,1
VINF-UH,1
VINF-WDT,1
CL-PRP$,1
CL-WDT,1
CLO-'',1
CC-WDT,1
VPR-UH,1
NC-JJR,1
CC-RB,1
CC-RP,1
VPP-PRP,1
VPP-RB,1
C-CC,1
PRO-EX,1
P-UH,1
ET-NNS,1
ET-PRP$,1
ET-VBN,1
ET-VBZ,1
ET-WP,1
NC-:,1
N-``,1
NPP-WP,1
P-EX,1
P-JJR,1
P-NNPS,1
P-PDT,1
P-RBS,1
N-PRP$,1
N-RBR,1
N-VBP,1
CL-NNP,1
CL-CC,1
CL-DT,1
CC-VBZ,1
NC-RBR,1
NPP-:,1
NPP-.,1
NPP-JJ,1
NPP-PDT,1
NPP-RP,1
NPP-PRP$,1
NPP-VBG,1
N-NNPS,1
CC-PRP,1
NC-JJS,1
PRO-WDT,1
PRO-VBG,1
PROREL-:,1
PROREL-.,1
"CLR-,",1
CLR-.,1
PROREL-VBP,1
PROREL-VBG,1
PROREL-VBZ,1
PROREL-WDT,1
PRO-VB,1
CLO-VBP,1
DETWH-RB,1
DET-RBR,1
PRO-NNP,1
PRO-PRP,1
CC-'',1
CLO-DT,1
CLO-VB,1
CLO-JJ,1
CLO-NNP,1
CLO-RB,1
C-NN,1
ET-IN,1
DETWH-WP,1
C-PRP,1
CC-MD,1
DET-VBP,1
DET-VBZ,1
DET-WP$,1
PUNC-WDT,1
PUNC-JJR,1
PUNC-EX,1
DET-:,1
CS-VBP,1
CS-WDT,1
CS-VBD,1
CS-VB,1
CS-NNS,1
CS-TO,1
CS-RB,1
CS-PRP,1
PROWH-NNP,1
PROWH-IN,1
PROWH-``,1
CS-MD,1
PROREL-CC,1
PROREL-PRP,1
PROREL-VBD,1
PROREL-PRP$,1
CS-IN,1
CS-CD,1
ADV-TO,1
ADV-JJR,1
ADV-WP,1
ADV-VB,1
CLS-``,1
CS-CC,1
CLS-VBG,1
CLS-VBP,1
CLS-WP,1
PUNC-WP,1
V-VBP,1
CLS-CC,1
CLS-CD,1
CLS-MD,1
CLS-:,1
CLR-VBZ,1
CLR-WDT,1
CLS-.,1
V-MD,1
CLR-VBD,1
VPR-.,1
VPP-VBZ,1
VPR-MD,1
CLR-NNS,1
VINF-EX,1
VPP-VBG,1
ADJ-RB,1
VINF-NNS,1
ADJ-WDT,1
ADJ-VBZ,1
ADJ-WP,1
ADJ-``,1
ADJWH-DT,1
VPR-VBD,1
VPR-``,1
VS-.,1
VS-CC,1
VS-DT,1
VS-IN,1
VS-JJ,1
VS-NN,1
VS-NNS,1
